apellido,nombre,titulo,genero,tema,recomendado,calificacion,codigo,editorial,disponible,zona
SOLZHENITSYN,ALEXANDER,THE GULAG ARCHIPIELAGO,NOVELA,INGLÉS,●,L-A2,18-SOL-ARC,FONTANA,True,Pequeños
SPENCE,JONATHAN D.,EL PALACIO DE MEMORIA DE MATTEO RICCI. UN JESUITA EN LA CHINA DEL SIGLO XVI,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,—,20-SPE-PAL,TUSQUETS,True,Pequeños
STAROVA,LUAN,EL TIEMPO DE LAS CABRAS,NOVELA,DRAMA,●,L-A1,12-STA-TIE,LIBROS DEL ASTEROIDE,True,Sala de Estar
STEGNER,WALLACE,ÁNGULO DE REPOSO,NOVELA,NEGRA,,L-B1,12-STE-ANG,LIBROS DEL ASTEROIDE,True,Sala de Estar
STEINBECK,JOHN,LA PERLA,NOVELA,AVENTURAS,●,L-A1,01-STE-PER,CARALT,True,Estudio Mayores
STEINBECK,JOHN,LA PERLA,NOVELA,AVENTURAS,●,L-A1,01-STE-PER,CARALT,True,Estudio Mayores
STEINBECK,JOHN,LAS UVAS DE LA IRA,NOVELA,DRAMA,●,L-B1,12-STE-UVA,CÁTEDRA,True,Sala de Estar
STIFTER,ADALBERT,PIEDRAS DE COLORES,NOVELA,AVENTURAS,,L-A1,12-STI-PIE,CÁTEDRA,True,Sala de Estar
STOKER,BRAM,DRACULA,NOVELA,INGLÉS,●,L-B1,18-STO-DRA,WORDSWORTH,True,Pequeños
SUÁREZ SÁNCHEZ-OCAÑA,ALEJANDRO,DESNUDANDO A GOOGLE,,—,,—,17-SUÁ-DES,DEUSTO,True,Pequeños
SUESCUN,JAVIER,LA MUJER QUE MATÓ A HITLER,NOVELA,NEGRA,,—,08-SUE-MUJ,BETA,True,Pequeños
SUTER,MARTIN,"LILA, LILA",NOVELA,DRAMA,●,—,12-SUT-LIL,ANAGRAMA,True,Sala de Estar
SWAN,LEONIE,¡QUE VIENE EL LOBO!,NOVELA,FANTASÍA/CIENCIA FICCIÓN,,L-A2,12-SWA-VIE,SALAMANDRA,True,Sala de Estar
SWIFT,JONATHAN,LOS VIAJES DE GULLIVER,NOVELA,AVENTURAS,●,L-A2,01-SWI-VIA,BIBLIOTECA EL MUNDO,True,Estudio Mayores
SZPILMAN,WLADISLAW,EL PIANISTA DEL GUETTO DE VARSOVIA,NOVELA,DRAMA,●,L-A2,04-SZP-PIA,TURPIAL Y AMARANTO,True,Pequeños
TABUCCHI,ANTONIO,SOSTIENE PEREIRA,NOVELA,NEGRA,,L-A2,12-TAB-SOS,ANAGRAMA,True,Sala de Estar
TAKEYAMA,MICHIO,EL ARPA BIRMANA,NOVELA,DRAMA,●,—,04-TAK-ARP,EDICIONES DEL VIENTO,True,Pequeños
TALESE,GAY,HONRARÁS A TU PADRE,ENSAYO,POLÍTICA,●,P-A2,12-TAL-HON,ALFAGUARA,True,Sala de Estar
TAMARO,SUSANNA,ANIMA MUNDI,NOVELA,DRAMA,,L-B1,04-TAM-ANI,SEIX BARRAL,True,Pequeños
TAMARO,SUSANNA,DONDE EL CORAZÓN TE LLEVE,NOVELA,DRAMA,●,L-B1,04-TAM-DON,SEIX BARRAL,True,Pequeños
TAMARO,SUSANNA,ESCUCHA MI VOZ,NOVELA,DRAMA,,L-B1,12-TAM-ESC,SEIX BARRAL,True,Sala de Estar
TAMARO,SUSANNA,QUERIDA MATHILDA,NOVELA,DRAMA,,L-A1,04-TAM-QUE,SEIX BARRAL,True,Pequeños
TAMARO,SUSANNA,RESPÓNDEME,NOVELA,DRAMA,,L-B1,12-TAM-RES,SEIX BARRAL,True,Sala de Estar
TAMARO,SUSANNA,TOBÍAS Y EL ÁNGEL,NOVELA,DRAMA,,L-A2,04-TAM-TOB,MONDADORI,True,Pequeños
TARKINGTON,BOOTH,DE LA PIEL DEL DIABLO,NOVELA,AVENTURAS,●,L-A1,01-TAR-PIE,MIÑÓN,True,Estudio Mayores
TARKINGTON,BOOTH,EL CUARTO MANDAMIENTO,NOVELA,NEGRA,●,L-A2,12-TAR-CUA,ALFAGUARA,True,Sala de Estar
TERENCIO,,COMEDIAS,NOVELA,CLÁSICA,,L-B1,12-TER-COM,CÁTEDRA,True,Sala de Estar
TERMES,RAFAEL,ANTROPOLOGÍA DEL CAPITALISMO,ENSAYO,FILOSOFÍA,,P-A1,13-TER-ANT,RIALP,True,Pequeños
THACKERAY,WILLIAM M.,LA FERIA DE LAS VANIDADES,NOVELA,DRAMA,●,L-B1,12-THA-FER,LUMEN,True,Sala de Estar
THEORIN,JOHAN,LA HORA DE LAS SOMBRAS,NOVELA,NEGRA,,—,12-THE-HOR,ALFAGUARA,True,Sala de Estar
THEROUX,PAUL,EL VIEJO EXPRESO DE LA PATAGONIA,NOVELA,DRAMA,,—,04-THE-VIE,EDICIONES B,True,Pequeños
THILLIEZ,FRANK,GATACA,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,—,05-THI-GAT,DESTINO,True,Estudio Mayores
TIERNO,BERNABÉ,VALORES HUMANOS,ENSAYO,PEDAGOGÍA/CIENCIA,,—,19-TIE-VAL,TALLER DE EDITORES,True,Pequeños
TILMISANI,MAY,DENIAZAD,NOVELA,DRAMA,,—,04-TIL-DEN,EDICIONES DEL ORIENTE Y DEL MEDITERRÁNEO,True,Pequeños
TINTI,HANNAH,EL BUEN LADRÓN,NOVELA,AVENTURAS,,L-A2,12-TIN-BUE,ANAGRAMA,True,Sala de Estar
TOBAR,JOSÉ MARÍA,VIVIR CON SENTIDO COMÚN,ENSAYO,FILOSOFÍA,,—,13-TOB-VIV,VERBO DIVINO,True,Pequeños
TOLKIEN,J. R. R.,THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,NOVELA,INGLÉS,●,L-A1,18-TOL-FEL,UNWIN,True,Pequeños
TOLKIEN,J. R. R.,THE LORD OF THE RINGS: THE RETURN OF THE KING,NOVELA,INGLÉS,●,L-A1,18-TOL-RET,UNWIN,True,Pequeños
TOLKIEN,J. R. R.,THE LORD OF THE RINGS: THE RETURN OF THE KING,NOVELA,INGLÉS,●,L-A1,18-TOL-RET,UNWIN,True,Pequeños
TOLKIEN,J. R. R.,THE LORD OF THE RINGS: THE TWO TOWERS,NOVELA,INGLÉS,●,L-A1,18-TOL-TWO,UNWIN,True,Pequeños
TOLKIEN,J. R. R.,THE LORD OF THE RINGS: THE TWO TOWERS,NOVELA,INGLÉS,●,L-A1,18-TOL-TWO,UNWIN,True,Pequeños
TOLKIEN,J. R. R. ,EL SEÑOR DE LOS ANILLOS: LA COMUNIDAD DEL ANILLO,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-A1,05-TOL-COM,RBA,True,Estudio Mayores
TOLKIEN,J. R. R. ,THE LORD OF THE RINGS: THE RETURN OF THE KING,NOVELA,FANTASÍA/CIENCIA FICCIÓN,,L-A1,18-TOL-RET,FONTANA,True,Pequeños
TOLKIEN,J. R. R. ,THE LORD OF THE RINGS: THE TWO TOWERS,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-A1,18-TOL-TWO,FONTANA,True,Pequeños
TOLKIEN,J.R.R.,EL HOBBIT,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-A1,05-TOL-HOB,BOOKLET,True,Estudio Mayores
TOLKIEN,J.R.R.,EL SEÑOR DE LOS ANILLOS: EL RETORNO DEL REY,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-A1,05-TOL-SE3,MINOTAURO,True,Estudio Mayores
TOLKIEN,J.R.R.,EL SEÑOR DE LOS ANILLOS: LA COMUNIDAD DEL ANILLO,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-A1,05-TOL-SE1,MINOTAURO,True,Estudio Mayores
TOLKIEN,J.R.R.,EL SEÑOR DE LOS ANILLOS: LAS DOS TORRES,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-A1,05-TOL-SE2,MINOTAURO,True,Estudio Mayores
TOLSTOI,LEV,ANNA KARÉNINA,NOVELA,DRAMA,●,L-A2,12-TOL-ANN,CÁTEDRA,True,Sala de Estar
TORDAY,PAUL,LA PESCA DEL SALMÓN EN YEMEN,NOVELA,AVENTURAS,,L-B1,12-TOR-PES,SALAMANDRA,True,Sala de Estar
TORNATORE,GIUSEPPE,LA MEJOR OFERTA,NOVELA,DRAMA,,L-B1,12-TOR-MEJ,ANAGRAMA,True,Sala de Estar
TOULAT,JEAN,"ESOS NIÑOS ""ESPECIALES"". LA RESPUESTA DEL AMOR",ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-A1,20-TOU-ESO,RIALP,True,Pequeños
TOWLES,AMOR,UN CABALLERO EN MOSCÚ,NOVELA,NEGRA,●,L-A2,12-TOW-CAB,SALAMANDRA,True,Sala de Estar
TRAPIELLO,ANDRÉS,AL MORIR DON QUIJOTE,NOVELA,NEGRA,,L-B1,12-TRA-MOR,DESTINO,True,Sala de Estar
TRAPIELLO,ANDRÉS,DÍAS Y NOCHES,NOVELA,DRAMA,,L-B1,12-TRA-DIA,ESPASA,True,Sala de Estar
TRAPIELLO,ANDRÉS,EL FINAL DE SANCHO PANZA Y OTRAS SUERTES,NOVELA,AVENTURAS,,L-A2,01-TRA-FIN,DESTINO,True,Estudio Mayores
TUCIDIDES,—,HISTORIA DE LA GUERRA DEL PELOPONESO I-II,ENSAYO,HISTORIA,●,P-A1,12-TUC-HIS1,GREDOS,True,Sala de Estar
TUCIDIDES,—,HISTORIA DE LA GUERRA DEL PELOPONESO III-IV,ENSAYO,HISTORIA,●,P-A1,12-TUC-HIS2,GREDOS,True,Sala de Estar
TUCIDIDES,—,HISTORIA DE LA GUERRA DEL PELOPONESO VII-VIII,ENSAYO,HISTORIA,●,P-A1,12-TUC-HIS4,GREDOS,True,Sala de Estar
TUCIDIDES,—,HISTORIA DE LA GUERRA DEL PELOPONESO V-VI,ENSAYO,HISTORIA,●,P-A1,12-TUC-HIS3,GREDOS,True,Sala de Estar
TUSQUETS,EUGENIA,EL CUADRO PERDIDO DE PICASSO,NOVELA,AVENTURAS,,—,12-TUS-CUA,FUNANBULISTA,True,Sala de Estar
TWAIN,MARK,LAS AVENTURAS DE HUCKLEBERRY FINN,NOVELA,AVENTURAS,,L-A2,12-TWA-AVE,CÁTEDRA,True,Sala de Estar
TWAIN,MARK,LAS AVENTURAS DE TOM SAWYER,NOVELA,AVENTURAS,●,L-A1,01-TWA-AVE,AGUILAR,True,Estudio Mayores
TWAIN,MARK,THE ADVENTURES OF HUCKLEBERRY FINN,NOVELA,INGLÉS,●,L-A2,18-TWA-ADV,PENGUIN,True,Pequeños
UHLMAN,FRED,REENCUENTRO,NOVELA,DRAMA,●,L-B1,04-UHL-REE,TUSQUETS,True,Pequeños
UNDSET,SIGRID,"CRISTINA, HIJA DE LAVRANS 1",NOVELA,HISTÓRICA,,L-B1,12-UND-CR1,ENCUENTRO,True,Sala de Estar
UNDSET,SIGRID,"CRISTINA, HIJA DE LAVRANS 2",NOVELA,HISTÓRICA,,L-B1,12-UND-CR2,ENCUENTRO,True,Sala de Estar
UNDSET,SIGRID,"CRISTINA, HIJA DE LAVRANS 3",NOVELA,HISTÓRICA,,L-B1,12-UND-CR3,ENCUENTRO,True,Sala de Estar
UNDSET,SIGRID,LA ZARZA ARDIENTE,NOVELA,HISTÓRICA,,L-A2,12-UND-ZAR,ENCUENTRO,True,Sala de Estar
UNDSET,SIGRID,OLAV AUDUNSSÖN 1,NOVELA,HISTÓRICA,●,L-B1,12-UND-OL1,ENCUENTRO,True,Sala de Estar
UNDSET,SIGRID,OLAV AUDUNSSÖN 2,NOVELA,HISTÓRICA,●,L-B1,12-UND-OL2,ENCUENTRO,True,Sala de Estar
URBANO,PILAR,JEFE ATTA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,P-A2,20-URB-JEF,PLAZA & JANÉS,True,Pequeños
URIBE,KIRMEN,BILBAO-NUEVA YORK-BILBAO,NOVELA,AVENTURAS,●,L-A2,12-URI-BIL,SEIX BARRAL,True,Sala de Estar
USLAR,PETRI,LAS LANZAS COLORADAS,NOVELA,CLÁSICA,,L-B1,12-USL-LAN,CÁTEDRA,True,Sala de Estar
VALENZUELA,CURRI,100 PERSONAJES QUE HUNDEN ESPAÑA,ENSAYO,POLÍTICA,,—,16-VAL-100,TEMAS DE HOY,True,Pequeños
VALERO,SAMUEL,YAUYOS,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-A1,20-VAL-YAU,RIALP,True,Pequeños
VALLE INCLÁN,RAMÓN MARÍA DEL,LUCES DE BOHEMIA,NOVELA,CLÁSICA,,L-B1,3-VAL-LUC,ESPASA,True,Pequeños
VALLE-INCLÁN,RAMÓN,LUCES DE BOHEMIA,TEATRO,—,,L-B1,12-VAL-LUC,AUSTRAL,True,Sala de Estar
VAN DER MEERSCH,MAXENCE,CUERPOS Y ALMAS,NOVELA,DRAMA,,L-B1,04-VAN-CUE,PLAZA & JANÉS,True,Pequeños
VAN DOREN,CHARLES,BREVE HISTORIA DEL LEER,ENSAYO,PEDAGOGÍA/CIENCIA,●,—,12-VAN-BRE,ARIEL,True,Sala de Estar
VAN OLMEN,PETER,ODESSA Y EL MUNDO SECRETO DE LOS LIBROS,NOVELA,FANTASÍA/CIENCIA FICCIÓN,,—,05-OLM-ODE,SIRUELA,True,Estudio Mayores
VARELA,PILAR,LA MÁQUINA DE PENSAR,ENSAYO,FILOSOFÍA,,—,13-VAR-MAQ,TEMAS DE HOY,True,Pequeños
VARGAS,FRED,EL HOMBRE DE LOS CÍRCULOS AZULES,NOVELA,NEGRA,,L-B1,08-VAR-HOM,SIRUELA,True,Pequeños
VARGAS LLOSA,MARIO,DÍA DE DOMINGO,RELATO(S),—,,—,10-VAR-CAC,SALVAT,True,General
VARGAS LLOSA,MARIO,EL DESAFÍO,RELATO(S),—,,—,10-VAR-CAC,SALVAT,True,General
VARGAS LLOSA,MARIO,LOS CACHORROS,RELATO(S),—,,L-B1,10-VAR-CAC,SALVAT,True,General
VARLÁMOV,ALEXÉI,EL NACIMIENTO,NOVELA,DRAMA,●,L-A2,12-VAR-NAC,ACANTILADO,True,Sala de Estar
VASCONCELOS,JOSÉ MAURO,MI PLANTA DE NARANJA LIMA,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,,05-VAS-PLA,CÍRCULO DE LECTORES,True,Estudio Mayores
VÁSQUEZ,JUAN GABRIEL,EL RUIDO DE LAS COSAS AL CAER,NOVELA,NEGRA,,—,08-VAS-RUI,ALFAGUARA,True,Pequeños
VASSANJI,M. G.,EL MUNDO INCIERTO DE VIKRAM LALL,NOVELA,AVENTURAS,,—,12-VAS-MUN,SALAMANDRA,True,Sala de Estar
VÁZQUEZ DE PRADA,ANDRÉS,SIR TOMÁS MORO. LORD CANCILLER DE INGLATERRA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-A1,20-VAZ-TOM,RIALP,True,Pequeños
VÁZQUEZ-FIGUEROA,ALBERTO,"SAUD, EL LEOPARDO",NOVELA,NEGRA,,—,08-VAZ-SAU,EDICIONES B,True,Pequeños
VÉLEZ DE GUEVARA,LUIS,EL DIABLO COJUELO,NOVELA,CLÁSICA,●,L-A2,03-ANO-LAZ,SALVAT,True,Pequeños
"VELTRI, ELIO","TRAVAGLIO, MARCO",EL OLOR DEL DINERO. ORIGEN Y MISTERIO DE LA FORTUNA DE SILVIO BERLUSCONI,ENSAYO,POLÍTICA,,—,17-VEL-OLO,PENÍNSULA,True,Pequeños
VERDON,JOHN,SÉ LO QUE ESTÁS PENSANDO,NOVELA,NEGRA,,L-B1,08-VER-SEL,ROCA,True,Pequeños
VERNE,JULES,CINCO SEMANAS EN GLOBO,NOVELA,AVENTURAS,,L-A1,01-VER-CIN,ANAYA,True,Estudio Mayores
VERNE,JULES,LA VUELTA AL MUNDO EN 80 DÍAS,NOVELA,AVENTURAS,,L-A1,01-VER-VUE,ANAYA,True,Estudio Mayores
VERNE,JULES,VIAJE AL CENTRO DE LA TIERRA,NOVELA,AVENTURAS,,L-A1,01-VER-VIA,ANAYA,True,Estudio Mayores
VERNE,JULIO,DE LA TIERRA A LA LUNA,NOVELA,FANTASÍA/CIENCIA FICCIÓN,●,L-A1,05-VER-VIA,AKAL,True,Estudio Mayores
VERNE,JULIO,EL FARO DEL FIN DEL MUNDO,NOVELA,AVENTURAS,,L-A2,01-VER-FAR,SALVAT,True,Estudio Mayores
VERNE,JULIO,LOS HIJOS DEL CAPITÁN GRANT,NOVELA,AVENTURAS,●,L-A1,01-VER-HIJ,EDHASA,True,Estudio Mayores
VERNE,JULIO,VEINTE MIL LEGUAS DE VIAJE SUBMARINO 1,NOVELA,AVENTURAS,,L-A1,01-VER-VE1,SALVAT,True,Estudio Mayores
VERNE,JULIO,VEINTE MIL LEGUAS DE VIAJE SUBMARINO 2,NOVELA,AVENTURAS,,L-A1,01-VER-VE2,SALVAT,True,Estudio Mayores
VIDAL,CÉSAR,EL MÉDICO DE SEFARAD,NOVELA,HISTÓRICA,,L-B1,06-VID-MED,GUSTAVO GILI,True,Estudio Mayores
VIDAL,CÉSAR,EL MÉDICO DEL SULTÁN,NOVELA,HISTÓRICA,,—,06-VID-MED,GRIJALBO,True,Estudio Mayores
VIDAL,CÉSAR,EL TESTAMENTO DEL PESCADOR,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-A1,20-VID-TES,MR EDICIONES,True,Pequeños
VIDAL,CÉSAR,ESPAÑA FRENTE AL ISLAM,ENSAYO,HISTORIA,,—,16-VID-ESP,ESFERA DE LOS LIBROS,True,Pequeños
VIDAL,CÉSAR,LA GUERRA QUE GANÓ FRANCO,ENSAYO,POLÍTICA,,P-A1,16-VID-GUE,DEBOLSILLO,True,Pequeños
VIDAL,CÉSAR,LAS BRIGADAS INTERNACIONALES,ENSAYO,HISTORIA,,P-B1,16-VID-BRI,ESPASA,True,Pequeños
VIDAL,CÉSAR,LOS HIJOS DE LA LUZ,ENSAYO,POLÍTICA,,L-B2,22-VID-HIJ,ESPASA,True,Primera Planta
VIDAL,CÉSAR,LOS MASONES. LA SOCIEDAD SECRETA MÁS INFLUYENTE DE LA HISTORIA,ENSAYO,HISTORIA,,P-A2,16-VID-MAS,PLANETA,True,Pequeños
VIDAL,CÉSAR,LOS TEXTOS QUE CAMBIARON LA HISTORIA,ENSAYO,HISTORIA,,P-B1,16-VID-TEX,PLANETA,True,Pequeños
VIDAL,CÉSAR,PARACUELLOS-KATYN,ENSAYO,POLÍTICA,,—,16-VID.PAR,DEBOLSILLO,True,Pequeños
VIDAL-FOLCH,IGNACIO,TURISTAS DEL IDEAL,NOVELA,NEGRA,●,—,12-VID-TUR,DESTINO,True,Sala de Estar
VILA-MATAS,ENRIQUE,PARÍS NO SE ACABA NUNCA,NOVELA,DRAMA,●,L-A2,12-VIL-PAR,ANAGRAMA,True,Sala de Estar
VILLAR,DOMINGO,LA PLAYA DE LOS AHOGADOS,NOVELA,NEGRA,,L-A2,08-VIL-PLA,SIRUELA,True,Pequeños
VOLKOFF,VLADIMIR,EL MONTAJE,NOVELA,NEGRA,●,L-B1,08-VOL-MON,PLAZA & JANÉS,True,Pequeños
VON GOETHE,JOHANN WOLFGANG,FAUSTO,NOVELA,CLÁSICA,,L-B1,12-GOE-FAU,CÁTEDRA,True,Sala de Estar
VON KLEIST,HEINRICH,MICHAEL KOHLHASS,NOVELA,NEGRA,,—,08-KLE-MIC,DESTINO,True,Pequeños
VON LE FORT,GERTRUD,EL VELO DE VERÓNICA,NOVELA,DRAMA,●,L-A2,12-FOR-VEL,ENCUENTRO,True,Sala de Estar
VON LE FORT,GERTRUD,LA CORONA DE LOS ÁNGELES,NOVELA,DRAMA,●,L-A2,12-FOR-COR,ENCUENTRO,True,Sala de Estar
VON SCHIRACH,FERDINAND,CRÍMENES,NOVELA,NEGRA,,L-B2,22-SCH-CRI,SALAMANDRA,True,Primera Planta
VOORHOEVE,ANNE C.,LIVERPOOL STREET,NOVELA,DRAMA,●,L-A1,04-VOO-LIV,ALEA,True,Pequeños
VV. AA.,—,CUENTOS BREVES PARA SEGUIR LEYENDO EN EL BUS,RELATO(S),—,,—,10-VVA-CUE,VERTICALES,True,General
VV.AA,—,"CUENTOS DE: TURGUENEV, DOSTOIEVSKI Y TOLSTOI",RELATO(S),—,●,—,10-VVA-TUR,CÍRCULO DE LECTORES,True,General
VV.AA,—,EL LIBRO DE LAS PREGUNTAS Y LAS RESPUESTAS. EL NUEVO JUEGO DE LA CULTURA,ENSAYO,PEDAGOGÍA/CIENCIA,,—,19-VVA-LIB,TAURUS,True,Pequeños
VV.AA,—,LA PRISIÓN DONDE VIVO,RELATO(S),—,●,—,12-VVA-PRI,GALAXIA GUTEMBERG,True,Sala de Estar
VV.AA,—,NARRACIONES TERRORÍFICAS,RELATO(S),—,,—,10-VVA-NAR,ACERVO,True,General
VV.AA,—,NAVIDAD. ALGUNOS CUENTOS,RELATO(S),—,,—,10-VVA-NAV,HIERBAOLA,True,General
VV.AA.,,ACTAS CONGRESO CATÓLICOS Y VIDA PÚBLICA,ENSAYO,POLÍTICA,,L-A1,17-CAT-ARR,CEU EDICIONES,True,Pequeños
VV.AA.,,DOS VECES CUENTO. ANTOLOGÍA DE MICRORRELATOS,RELATO(S),—,,L-A1,10-GON-DOS,UNAV,True,General
WALTARI,MIKA,"MARCO, EL ROMANO",NOVELA,HISTÓRICA,,—,06-WAL-MAR,PLAZA & JANÉS,True,Estudio Mayores
WAUGH,EVELYN,¡NOTICIA BOMBA!,NOVELA,DRAMA,●,L-A2,12-WAU-NOT,ANAGRAMA,True,Sala de Estar
WAUGH,EVELYN,CUENTOS COMPLETOS,RELATO(S),—,●,L-A2,12-WAU-CUE,RBA,True,Sala de Estar
WAUGH,EVELYN,ELENA,NOVELA,HISTÓRICA,,L-A2,12-WAU-ELE,EDHASA,True,Sala de Estar
WAUGH,EVELYN,GENTE REMOTA,NOVELA,AVENTURAS,●,L-A1,12-WAU-GEN,EDICIONES DEL VIENTO,True,Sala de Estar
WAUGH,EVELYN,HOMBRES EN ARMAS,NOVELA,BÉLICA,●,L-A2,12-WAU-HOM,CÁTEDRA,True,Sala de Estar
WEAVER,EVA,TODO LO QUE CABE EN LOS BOLSILLOS,NOVELA,DRAMA,,L-A2,04-WEA-TOD,ESPASA-CALPE,True,Pequeños
WEIGEL,GEORGE,BIOGRAFÍA DE JUAN PABLO II. TESTIGO DE LA ESPERANZA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,P-A1,20-WEI-BIO,PLAZA & JANÉS,True,Pequeños
"WEIS, MARGARET","HICKMAN, TRACY",LEYENDAS DE LA DRAGONLANCE: EL TEMPLO DE ISTAR (VOL. I),NOVELA,FANTASÍA/CIENCIA FICCIÓN,,—,05-WEI-TEM,TIMUN MAS,True,Estudio Mayores
"WEIS, MARGARET","HICKMAN, TRACY",LEYENDAS DE LA DRAGONLANCE: EL UMBRAL DEL PODER (VOL. III),NOVELA,FANTASÍA/CIENCIA FICCIÓN,,—,05-WEI-UMB,TIMUN MAS,True,Estudio Mayores
"WEIS, MARGARET","HICKMAN, TRACY",LEYENDAS DE LA DRAGONLANCE: GUERRA DE LOS ENANOS (VOL. II),NOVELA,FANTASÍA/CIENCIA FICCIÓN,,—,05-WEI-GUE,TIMUN MAS,True,Estudio Mayores
WELBORN,AMY,DESCODIFICANDO A DA VINCI. LOS HECHOS REALES OCULTOS EN EL CÓDIGO DA VINCI,ENSAYO,ARTE,,P-A1,15-WEL-DES,PALABRA,True,Pequeños
WELTY,EUDORA,CUENTOS COMPLETOS,RELATO(S),—,,L-A2,12-EUD-CUE,LUMEN,True,Sala de Estar
WERFEL,FRANZ,LA NOVELA DE LA ÓPERA,NOVELA,DRAMA,,L-B1,12-WER-NOV,ESPASA,True,Sala de Estar
WERFEL,FRANZ,UNA LETRA FEMENINA AZUL PÁLIDO,NOVELA,DRAMA,●,L-A2,12-WER-UNA,ANAGRAMA,True,Sala de Estar
WESCOTT,GLENWAY,APARTAMENTO EN ATENAS,NOVELA,DRAMA,,L-B1,04-WES-APA,DEBOLSILLO,True,Pequeños
WESCOTT,GLENWAY,EL HALCÓN PEREGRINO,NOVELA,DRAMA,,—,12-WES-HAL,LUMEN,True,Sala de Estar
WEST,MORRIS,EL ABOGADO DEL DIABLO,NOVELA,DRAMA,,L-B1,04-WES-ABO,CÍRCULO DE LECTORES,True,Pequeños
WEST,MORRIS,LAS SANDALIAS DEL PESCADOR,NOVELA,HISTÓRICA,●,L-A2,06-WES-SAN,,True,Estudio Mayores
WEST,MORRIS,LAS SANDALIAS DEL PESCADOR,NOVELA,HISTÓRICA,,L-A2,06-WES-SAN,CÍRCULO DE LECTORES,True,Estudio Mayores
WHARTON,EDITH,ETHAN FROME,NOVELA,DRAMA,●,L-B1,04-WHA-ETH,EDICIONES B,True,Pequeños
WHARTON,EDITH,LA EDAD DE LA INOCENCIA,NOVELA,DRAMA,●,L-A2,12-WHA-EDA,TUSQUETS,True,Sala de Estar
WHARTON,EDITH,LOS NIÑOS,NOVELA,DRAMA,,L-B1,12-WHA-NIÑ,ALBA,True,Sala de Estar
WIESENTHAL,SIMÓN,LOS LÍMITES DEL PERDÓN,ENSAYO,FILOSOFÍA,●,P-A1,12-WIE-LIM,PAIDÓS,True,Sala de Estar
WILDE,OSCAR,EL ABANICO DE LADY WINDERMERE,TEATRO,—,●,L-A1,12-WIL-IMP,AUSTRAL,True,Sala de Estar
WILDE,OSCAR,EL CUADRO DE DORIAN GRAY,NOVELA,FANTASÍA/CIENCIA FICCIÓN,,L-B1,12-WIL-CUA,CÁTEDRA,True,Sala de Estar
WILDE,OSCAR,LA IMPORTANCIA DE LLAMARSE ERNESTO,TEATRO,—,●,L-A1,12-WIL-IMP,AUSTRAL,True,Sala de Estar
WILDE,OSCAR,LORD ARTHUR SAVILE´S CRIME AND ANOTHE STORIES,RELATO(S),INGLÉS,,L-A2,18-WIL-LOR,PENGUIN,True,Pequeños
WILDE,OSCAR,TEATRO COMPLETO,TEATRO,—,●,—,12-WIL-TEA,VALDEMAR,True,Sala de Estar
WILDER,THORNTON,EL PUENTE DE SAN LUIS REY,NOVELA,HISTÓRICA,●,L-A2,12-WIL-PUE,EDHASA,True,Sala de Estar
WILDER,THORNTON,LOS IDUS DE MARZO,NOVELA,HISTÓRICA,●,L-B1,06-WIL-IDU,EDHASA,True,Estudio Mayores
WILKINS,CHRISTOPHER,EL RELOJ HORIZONTAL,NOVELA,DRAMA,●,L-A2,12-WIL-REL,DESTINO,True,Sala de Estar
WILSON,SLOAN,EL HOMBRE DEL TRAJE GRIS,NOVELA,NEGRA,,L-A2,12-WIL-HOM,LIBROS DEL ASTEROIDE,True,Sala de Estar
WOJTYLA,KAROL,POESÍAS,POESÍA,—,,L-A1,09-WOJ-POE,BAC,True,Pequeños
WOJTYLA,KAROL,TRÍPTICO ROMANO,POESÍA,—,,L-A1,09-WOJ-TRI,UNIVERSIDAD PONTIFICIA DE COMILLAS,True,Pequeños
WOLF,MARKUS,EL HOMBRE SIN ROSTRO. LA AUTOBIOGRAFÍA DEL GRAN MAESTRO DEL ESPIONAJE COMUNISTA,ENSAYO,BIOGRAFÍA/AUTOBIOGRAFÍA,,L-B2,22-WOL-HOM,JAVIER VERGARA,True,Primera Planta
WOLFF,TOBÍAS,VIDA DE ESTE CHICO,NOVELA,DRAMA,,L-A2,04-WOL-VID,ALFAGUARA,True,Pequeños
WOODEHOUSE,P. G.,DIECIOCHO AGUJEROS,NOVELA,AVENTURAS,●,L-A1,01-WOO-DIE,PLAZA & JANÉS,True,Estudio Mayores
