apellido,nombre,titulo,genero,tema,recomendado,calificacion,codigo,editorial,disponible,zona
SCIASCIA,LEONARDO,EL CONSEJO DE EGIPTO,NOVELA,NEGRA,,—,12-SCI-CON,TUSQUETS,True,Sala de Estar
"SCORTIA, THOMAS N.","ROBINSON, FRANK M.",MUERTE EN EL TÚNEL,NOVELA,NEGRA,,L-B1,08-SCO-MUE,PLANETA,True,Pequeños
SCOTT,WALTER,IVANHOE,NOVELA,INGLÉS,,L-A2,18-SCO-IVA,PENGUIN,True,Pequeños
SCOTT FITZGERALD,FRANCIS,THE GREAT GATSBY,NOVELA,INGLÉS,●,L-B1,18-SCO-GRE,LONGMAN,True,Pequeños
SEBALD,W. G.,AUSTERLITZ,NOVELA,HISTÓRICA,●,L-B1,12-SEB-AUS,ANAGRAMA,True,Sala de Estar
SELZNICK,DAVID O.,LA INVENCIÓN DE HUGO CABRET,NOVELA,AVENTURAS,,—,01-SEL-INV,SM,True,Estudio Mayores
SEMPERE,DON JUAN,REFLEXIONES SOBRE EL BUEN GUSTO EN LAS CIENCIAS,,,,L-A2,03-SEM-REF,MARCIAL PONS,True,Pequeños
SEN,AMARTYA,DEVELOPMENT AS FREEDOM,ENSAYO,POLÍTICA,,—,18-SEN-DEV,ANCHOR,True,Pequeños
SENDER,RAMÓN J.,LA AVENTURA EQUINOCCIAL DE LOPE DE AGUIRRE,NOVELA,HISTÓRICA,,P-A2,06-SEN-AVE,COLECCIÓN EL PAÍS,True,Estudio Mayores
SÉNECA,—,EPÍSTOLAS MORALES A LUCÍLIO I,ENSAYO,FILOSOFÍA,,—,12-SEN-EPI,GREDOS,True,Sala de Estar
SEPÚLVEDA,LUIS,MUNDO DEL FIN DEL MUNDO,NOVELA,DRAMA,,L-A1,04-SEP-VIE,NUEVA ALIANZA,True,Pequeños
SEPÚLVEDA,LUIS,UN VIEJO QUE LEÍA NOVELAS DE AMOR,NOVELA,DRAMA,,L-A2,04-SEP-VIE,NUEVA ALIANZA,True,Pequeños
SETH,VIKRAM,UN BUEN PARTIDO,NOVELA,DRAMA,●,L-B1,12-SET-BUE,ANAGRAMA,True,Sala de Estar
SHAKESPEARE,WILLIAM,HAMLET,TEATRO,—,●,L-A1,11-SHA-HAM,ALHAMBRA,True,Pequeños
SHAKESPEARE,WILLIAM,HAMLET,NOVELA,INGLÉS,●,L-A1,18-SHA-HAM,PENGUIN,True,Pequeños
SHAKESPEARE,WILLIAM,KING LEAR,NOVELA,INGLÉS,●,L-A2,18-SHA-KIN,SIGNET,True,Pequeños
SHAKESPEARE,WILLIAM,LA COMEDIA DE LAS EQUIVOCACIONES,TEATRO,—,,L-A1,11-SHA-ALE,ESPASA-CALPE,True,Pequeños
SHAKESPEARE,WILLIAM,LAS ALEGRES COMADRES DE WINDSOR,TEATRO,—,,L-A2,11-SHA-ALE,ESPASA-CALPE,True,Pequeños
SHAKESPEARE,WILLIAM,OBRAS 1,TEATRO,—,●,—,12-SHA-OB1,AGUILAR,True,Sala de Estar
SHAKESPEARE,WILLIAM,OBRAS 2,TEATRO,—,●,—,12-SHA-OB2,AGUILAR,True,Sala de Estar
SHAKESPEARE,WILLIAM,OBRAS 3,TEATRO,—,●,—,12-SHA-OB3,AGUILAR,True,Sala de Estar
SHAKESPEARE,WILLIAM,OBRAS 4,TEATRO,—,●,—,12-SHA-OB4,AGUILAR,True,Sala de Estar
SHAKESPEARE,WILLIAM,OBRAS 5,TEATRO,—,●,—,12-SHA-OB5,AGUILAR,True,Sala de Estar
SHAKESPEARE,WILLIAM,OBRAS 6,TEATRO,—,●,—,12-SHA-OB6,AGUILAR,True,Sala de Estar
SHAKESPEARE,WILLIAM,RICARDO III,TEATRO,—,,L-A1,11-SHA-RIC,EDICIONES DEL VIENTO,True,Pequeños
SHALEV,MEIR,MI ABUELA RUSA Y SU ASPIRADORA AMERICANA,NOVELA,DRAMA,,—,04-SHA-ABU,ÁTICO DE LOS LIBROS,True,Pequeños
SHARMA,AKHIL,VIDA DE FAMILIA,NOVELA,DRAMA,●,L-A2,12-SHA-VID,ANAGRAMA,True,Sala de Estar
SHARMA,ROBIN,EL LÍDER QUE NO TENÍA CARGO,ENSAYO,PEDAGOGÍA/CIENCIA,,P-A1,19-SHA-LID,GUSTAVO GILI,True,Pequeños
SHIN,KYUNG-SOOK,"POR FAVOR, CUIDA DE MAMÁ",NOVELA,NEGRA,,L-B1,08-SHI-POR,GRIJALBO,True,Pequeños
SIENKIEWICZ,HENRYK,A SANGRE Y FUEGO,NOVELA,HISTÓRICA,●,L-A1,12-SIE-SAN,CIUDADELA,True,Sala de Estar
SIENKIEWICZ,HENRYK,EL DILUVIO,NOVELA,HISTÓRICA,●,L-A1,12-SIE-DIL,CIUDADELA,True,Sala de Estar
SIERRA I FABRA,JORDI,… EN UN LUGAR LLAMADO TIERRA,NOVELA,FANTASÍA/CIENCIA FICCIÓN,,L-B1,05-SIE-SIE,SM,True,Estudio Mayores
SILLITOE,ALLAN,FUERA DEL TORBELLINO,NOVELA,DRAMA,,—,04-SIL-FUE,DIARIO DE BURGOS,True,Pequeños
SILVA,LORENZO,DONDE LOS ESCORPIONES,NOVELA,NEGRA,,L-B2,22-SIL-DON,DESTINO,True,Primera Planta
SILVA,LORENZO,EL ÁNGEL OCULTO,NOVELA,NEGRA,,L-B1,12-SIL-ANG,DESTINO,True,Sala de Estar
SILVA,LORENZO,EL NOMBRE DE LOS NUESTROS,NOVELA,DRAMA,,L-B1,12-SIL-NOM,DESTINO,True,Sala de Estar
SILVA,LORENZO,LA ESTRATEGIA DEL AGUA,NOVELA,NEGRA,,L-B1,08-SIL-EST,DESTINO,True,Pequeños
SILVA,LORENZO,LA MARCA DEL MERIDIANO,NOVELA,NEGRA,,L-A2,08-SIL-MAR,PLANETA,True,Pequeños
SILVA,LORENZO,LA NIEBLA Y LA DONCELLA,NOVELA,NEGRA,,L-B1,12-SIL-NIE,DESTINO,True,Sala de Estar
SILVA,LORENZO,LEJOS DEL CORAZON,NOVELA,NEGRA,,L-A2,08-SIL-LEJ,DESTINO,True,Pequeños
SILVA,LORENZO,NADIE VALE MÁS QUE OTRO,NOVELA,NEGRA,,L-A2,12-SIL-NAD,DESTINO,True,Sala de Estar
SILVA,LORENZO,NIÑOS FEROCES,NOVELA,NEGRA,,—,08-SIL-NIÑ,DESTINO,True,Pequeños
SILVA,LORENZO,SANGRE SUDOR Y PAZ,NOVELA,HISTÓRICA,,L-B2,22-SIL-SAN,PENINSULA,True,Primera Planta
SIMENON,GEORGES,A LA CITA DE LOS TERRANOVA,NOVELA,NEGRA,,L-A2,12-SIM-TER,FORUM,True,Sala de Estar
SIMENON,GEORGES,CÉCILE HA MUERTO,NOVELA,NEGRA,,L-A2,12-SIM-CÉC,FORUM,True,Sala de Estar
SIMENON,GEORGES,EL AMIGO DE LA INFANCIA DE MAIGRET,NOVELA,NEGRA,,L-B1,12-SIM-ENE,FORUM,True,Sala de Estar
SIMENON,GEORGES,EL ENAMORADO DE LA SEÑORA MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-ENA,FORUM,True,Sala de Estar
SIMENON,GEORGES,EL HOMBRE DE LA TORRE EIFFEL,NOVELA,NEGRA,,L-A2,12-SIM-TOR,FORUM,True,Sala de Estar
SIMENON,GEORGES,EL INSPECTOR CADÁVER,NOVELA,NEGRA,,L-A2,12-SIM-INS,FORUM,True,Sala de Estar
SIMENON,GEORGES,EL LADRÓN DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-LAD,FORUM,True,Sala de Estar
SIMENON,GEORGES,EL LOCO DE BERGERAC,NOVELA,NEGRA,,L-A2,12-SIM-BER,FORUM,True,Sala de Estar
SIMENON,GEORGES,FELICIA ESTÁ AHÍ,NOVELA,NEGRA,,L-A2,12-SIM-FEL,FORUM,True,Sala de Estar
SIMENON,GEORGES,FIRMADO: PICPUS,NOVELA,NEGRA,,L-A2,12-SIM-PIC,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA AGITADA NAVIDAD DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-NAV,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA BAILARINA DEL «GAI-MOULIN»,NOVELA,NEGRA,,L-A2,12-SIM-GAI,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA ESCLUSA NÚMERO 1,NOVELA,NEGRA,,L-A2,12-SIM-ESC,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA FURIA DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-FUR,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA MUERTE DEL SEÑOR GALLET,NOVELA,NEGRA,,L-A2,12-SIM-SEÑ,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA MUERTE RONDA A MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-RON,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA NOCHE DE LA ENCRUCIJADA,NOVELA,NEGRA,,L-A2,12-SIM-ENC,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA PACIENCIA DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-PAC,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA SOMBRA CHINESCA,NOVELA,NEGRA,,L-A2,12-SIM-CHI,FORUM,True,Sala de Estar
SIMENON,GEORGES,LA TABERNA DE LOS DOS CENTAVOS,NOVELA,NEGRA,,L-A2,12-SIM-CEN,FORUM,True,Sala de Estar
SIMENON,GEORGES,LAS CASA DEL JUEZ,NOVELA,NEGRA,,L-A2,12-SIM-CAS,FORUM,True,Sala de Estar
SIMENON,GEORGES,LAS INVESTIGACIONES DE MAIGRET,NOVELA,NEGRA,,L-B1,12-SIM-INVE,FORUM,True,Sala de Estar
SIMENON,GEORGES,LAS MEMORIAS DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-MEM,FORUM,True,Sala de Estar
SIMENON,GEORGES,LAS NOCHES BLANCAS DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-NOC,FORUM,True,Sala de Estar
SIMENON,GEORGES,LAS VACACIONES DE MAIGRET,NOVELA,NEGRA,,L-B1,12-SIM-VAC,FORUM,True,Sala de Estar
SIMENON,GEORGES,LOS ESCRÚPULOS DE MAIGRET,NOVELA,NEGRA,,L-A2,12-SIM-ESC,FORUM,True,Sala de Estar
SIMENON,GEORGES,LOS SÓTANOS DEL «MAYESTIC»,NOVELA,NEGRA,,L-A2,12-SIM-SOT,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET,NOVELA,NEGRA,,L-B1,12-SIM-MAI,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET A PENSIÓN,NOVELA,NEGRA,,L-B1,12-SIM-PEN,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET AND THE RELUCTANT WITNESSES,NOVELA,INGLÉS,,—,18-SIM-MAI,PENGUIN,True,Pequeños
SIMENON,GEORGES,MAIGRET CON LA MUERTE EN LOS TALONES,NOVELA,NEGRA,,L-A2,12-SIM-TAL,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET EN LA AUDIENCIA,NOVELA,NEGRA,,L-B1,12-SIM-AUD,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET EN LOS BAJOS FONDOS,NOVELA,NEGRA,,L-A2,12-SIM-BAJ,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET EN NUEVA YORK,NOVELA,NEGRA,,L-B1,12-SIM-NY,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET EN VICHY,NOVELA,NEGRA,,L-B1,12-SIM-VIC,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET SE DEFIENDE,NOVELA,NEGRA,,L-A2,12-SIM-DEF,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET SE DIVIERTE,NOVELA,NEGRA,,L-A2,12-SIM-DIV,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET SE ENFADA,NOVELA,NEGRA,,L-A2,12-SIM-ENF,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET SE EQUIVOCA,NOVELA,NEGRA,,L-A2,12-SIM-EQI,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET TIENDE UN LAZO,NOVELA,NEGRA,,L-A2,12-SIM-LAZ,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET TIENE MIEDO,NOVELA,NEGRA,,L-B1,12-SIM-MIE,FORUM,True,Sala de Estar
SIMENON,GEORGES,MAIGRET VACILA,NOVELA,NEGRA,,L-A2,12-SIM-VA2,FORUM,True,Sala de Estar
